"SDS Dogs .","Dog's Call Name","Dog's Registration Name","Dog's Breed","Registered","A Novice Title","A Nov Containers","A Nov Area Search","A Nov Game","P Novice Title","P Novice Containers","P Novice Area Search","P Novice Game","A Advanced Title","A Adv Containers","A Adv Area Search","A Adv Game","P Advanced Title","P Advance Containers","P Advance Area Search","P Advanced Game","A Excellent Title","A Ex Containers","A Ex Area Search","A Ex Game","P Excellent Title","P Excellent Containers","P Excellent Area Search","P Excellent Game","Masters Title","Handler Number"
66,"Ranger","Mistypoint Far Ranger","Labrador Retriever",1,,,,,,,,,,,,,,,,,,,,,,,,,,66
67,"Party","Ch Foxfire's Paint the Town Red","Doberman",1,,,,,,,,,,,,5/8/2016 0:00:00,,,,,,,,,,,,,,67
68,"Annie","Testimony to Insight","Australian Shepherd",1,,,,,,,,,,5/8/2016 0:00:00,,5/8/2016 0:00:00,,,,,,,,,,,,,,68
69,"Will","Good Will","Border Collie",1,,,,,,,,,,,3/19/2016 0:00:00,3/19/2016 0:00:00,,,,,,,,5/8/2016 0:00:00,,,,,,69
70,"Sheila","Pavlakovich's Sheia","German Shepherd Dog",1,,,,,,,,,,,,,,,,,,,,5/8/2016 0:00:00,,,,,,61
71,"Pax","Paxx Vom Wustenberger-Land","German Shepherd Dog",1,,,,,,,,,,,,,,,,,,,,,,,,,,61
72,"Miley","Dolroz Majic Mment v Chados","Doberman",1,,,,,,,,,,,,,,,,,,5/8/2016 0:00:00,,5/8/2016 0:00:00,,,,,,62
73,"Mattie","Hados Private Dancer","Doberman",1,,,,,,,,,,,,,,,,,,,,,,,,,,62
74,"Shorty",,"Toy Fox Terrier",1,,,,,,,,,,,,,,,,,,,,,,,,,,4
75,"Jake",,"Toy Fox Terrier",1,,,,,,,,,,,,,,,,,,,,,,,,,,4
76,"Stormy","Stormy","Mix",1,,,,,,,,,,,,,,,,,,,,,,,,,,70
77,"Cole",,"German Shepherd Dog",1,,,,,,,,,,,,,,,,,,,,,,,,,,71
78,"Rudy","Loveridge's Runnin Red Rogy","Standard Poodle",0,,,,,,,,,,,,,,,,,,,,,,,,,,72
79,"Ella","Shonieh Migar's Marcella","Norwich Terrier",1,3/20/2016 0:00:00,3/20/2016 0:00:00,3/20/2016 0:00:00,3/20/2016 0:00:00,,,,,,,,,,,,,,,,,,,,,,73
80,"Auri","Chohan's Silent Things","American Pit Bull Terrier",0,,,,,,,,,,,,,,,,,,,,,,,,,,74
81,"Kado",,"Kelpie Mix",1,3/20/2016 0:00:00,3/20/2016 0:00:00,3/20/2016 0:00:00,3/20/2016 0:00:00,,,,,5/7/2016 0:00:00,5/7/2016 0:00:00,5/7/2016 0:00:00,5/7/2016 0:00:00,,,,,,,,,,,,,,75
82,"Plyushka","Emberain I Shall Call You Squishy","Golden Retriever",0,,,,,,,,,,,,,,,,,,,,,,,,,,76
83,"Tazzy","Rivercrest Tundras Razmataz","JRT",0,,,,,,,,,,,,,,,,,,,,,,,,,,72
84,"Tucker",,"Aussie/Cattle Dog",0,,,,,,,,,,,,,,,,,,,,,,,,,,77
85,"Neo","Aztecs Taledo Steel","Australian Shepherd",1,3/20/2016 0:00:00,3/20/2016 0:00:00,3/20/2016 0:00:00,3/20/2016 0:00:00,,,,,5/8/2016 0:00:00,5/8/2016 0:00:00,5/8/2016 0:00:00,5/8/2016 0:00:00,,,,,,,,,,,,,,78
86,"Mystic","DD's Existential Dream Caatcher CGC CCA CDX RE AJP AXP","Golden Retriever",1,5/7/2016 0:00:00,5/7/2016 0:00:00,5/7/2016 0:00:00,5/7/2016 0:00:00,,,,,,,,,,,,,,,,,,,,,,79
87,"Moose",,"Portuguese Water Dog",1,,,,,,,,,,,,,,,,,,,,,,,,,,80
88,"Pickle",,"Dachshund",1,3/20/2016 0:00:00,3/20/2016 0:00:00,3/20/2016 0:00:00,3/20/2016 0:00:00,,,,,,5/7/2016 0:00:00,5/7/2016 0:00:00,,,,,,,,,,,,,,,29
89,"Jet","Northlight Flying High","Shetland Sheepdog",1,3/20/2016 0:00:00,3/20/2016 0:00:00,3/20/2016 0:00:00,3/20/2016 0:00:00,,,,,,,,,,,,,,,,,,,,,,81
90,"Girlie",,"JRT",1,3/20/2016 0:00:00,3/20/2016 0:00:00,3/20/2016 0:00:00,3/20/2016 0:00:00,,,,,,5/8/2016 0:00:00,5/8/2016 0:00:00,,,,,,,,,,,,,,,82
91,"Ginger",,"Shetland Sheepdog",1,5/7/2016 0:00:00,3/20/2016 0:00:00,3/20/2016 0:00:00,5/7/2016 0:00:00,,,,,,,,,,,,,,,,,,,,,,83
92,"Callie",,"Italian Spinone Mix",1,,5/7/2016 0:00:00,5/7/2016 0:00:00,,,,,,,,,,,,,,,,,,,,,,,84
93,"Ruby",,"Toller Mix",0,,,,,,,,,,,,,,,,,,,,,,,,,,85
94,"Penny","Penny Smith","Australian Shepherd",1,,,,,,,,,3/19/2016 0:00:00,3/19/2016 0:00:00,3/19/2016 0:00:00,3/19/2016 0:00:00,,,,,,,,5/8/2016 0:00:00,,,,,,89
95,"Figgy",,"Dachshund",1,,,,,,,,,,,,,,,,,,,,,,,,,,29
96,"Cricket",,"Chiweagle",1,,,,,,,,,,,,,,,,,,,,,,,,,,29
97,"Olive",,"Dachshund",1,,,,,,,,,,,,,,,,,,,,,,,,,,29
98,"Kamdyn","Jevon's Kruizin's Kamdyn","Golden Retriever",1,,,,,,,,,,3/19/2016 0:00:00,,3/19/2016 0:00:00,,,,,,,,,,,,,,88
99,"Kaydyn","GoGold's Kandu Kaydyn","Golden Retriever",1,,,,,,,,,,,,,,,,,,,,,,,,,,88
100,"Mason","Mason","Mini Schnauzer",1,,,,,,,,,,,,3/19/2016 0:00:00,,,,,,,,,,,,,,44
101,"Roxy","Element's Quicksilver Gambler","Malinois",1,,,,,,,,,,,,,,,,,,,,,,,,,,45
102,"Tess","Tess","Australian Shepherd",1,5/7/2016 0:00:00,5/7/2016 0:00:00,5/7/2016 0:00:00,5/7/2016 0:00:00,,,,,,,,,,,,,,,,,,,,,,55
103,"Emmitt","Emmitt G","Terrier Mix",1,,,,,,,,,,,,,,,,,,,,,,,,,,87
104,"Loba","Loba","German Shepherd",1,,,,,,,,,,,,,,,,,,,,,,,,,,125
105,"Isaac","Wysoki von sontaussen","German Shepherd Dog",1,,,,,,,,,,,,,,,,,,,,,,,,,,118
106,"Amber","Amber","ACD/GSD/Dalmation",1,,,,,,,,,,,,,,,,,,,,3/19/2016 0:00:00,,,,,,120
107,"Nemo","Gueans Captain Nemo","Rottweiler",1,,,,,,,,,,,,,,,,,,,,,,,,,,122
108,"Take","Take","Shiba Inu",1,,,3/20/2016 0:00:00,3/20/2016 0:00:00,,,,,,,,,,,,,,,,,,,,,,123
109,"Sumi","Tenshi's Sumi of Minimeadow","Kai Ken",1,,,,,,,,,,,,3/19/2016 0:00:00,,,,,,,,,,,,,,123
110,"Fox","Fox From House Ritvis","Rottweiler",1,,,,,,,,,,,,,,,,,,,,,,,,,,116
111,"Ranger","Riverrun The Lone Ranger MX AXJ OAP NJP XF NFP","Shetland Sheepdog",1,5/7/2016 0:00:00,5/7/2016 0:00:00,3/20/2016 0:00:00,3/20/2016 0:00:00,,,,,,,5/7/2016 0:00:00,,,,,,,,,,,,,,,121
112,"Finn","Finn","Bulldog/Mix",1,5/7/2016 0:00:00,5/7/2016 0:00:00,5/7/2016 0:00:00,5/7/2016 0:00:00,,,,,,,,,,,,,,,,,,,,,,124
113,"Clara","Clara Vom truehaus","German Shepherd Dog",1,3/20/2016 0:00:00,3/20/2016 0:00:00,3/20/2016 0:00:00,3/20/2016 0:00:00,,,,,,5/8/2016 0:00:00,,5/8/2016 0:00:00,,,,,,,,,,,,,,118
